defendant_zip,total_filed,total_default,total_judgment,total_plaintiff_won,total_immediate,median_principal,n_d_attorney,cases_plaintiff_business
24445,28,4,9,9,0,1410,0,10
24448,4,1,3,3,0,1774,0,1
24450,331,84,159,155,68,1650,17,170
24452,2,0,0,0,0,0,0,2
24455,1,1,1,1,0,1700,0,0
24457,4,0,0,0,1,0,0,3
24458,2,0,1,1,0,1360,0,0
24459,3,1,1,1,0,750,0,0
24460,12,4,10,10,1,1250,0,3
24465,14,1,9,8,1,875,0,2
24467,17,8,11,11,0,1325,0,6
24471,30,4,9,9,3,650,0,15
24472,91,24,42,41,15,1250,6,66
24473,3,2,3,3,2,2866.25,0,2
24474,7,2,4,5,1,1500,0,0
24476,9,1,5,4,1,1600,2,1
24477,425,107,179,172,9,1767.6999999999998,9,316
24479,23,8,10,10,2,886.355,0,11
24482,200,78,107,104,7,1201,12,146
24483,11,4,4,4,4,550,2,6
24484,4,1,3,3,0,3874,0,4
24485,7,1,3,3,0,6024,1,2
24486,119,19,32,30,1,1458,0,109
24487,2,0,1,1,0,0,0,1
24490,1,1,1,1,1,1400,0,0
24501,4482,1532,2643,2618,1376,1100,53,2891
24502,4237,1401,1999,1977,962,1100,34,3309
24503,952,342,541,530,267,1245,15,625
24504,1317,438,850,841,486,989.9499999999999,15,866
24505,18,6,10,10,4,1138.5,1,15
24506,2,2,2,2,2,1475,0,2
24512,1,0,1,1,0,471,0,1
24515,2,1,1,1,1,3760,0,0
24517,344,112,210,209,99,1057.5,0,230
24520,29,10,22,22,3,1300,3,9
24521,390,144,230,228,82,790,8,306
24522,287,76,150,150,55,915,0,167
24523,586,159,350,336,85,1500,14,298
24526,17,6,13,12,1,1300,1,5
24527,60,30,34,34,20,1623,0,25
24528,208,89,143,140,67,1485,3,162
24529,78,28,45,44,2,1515,0,17
24530,9,4,6,6,2,1380,0,2
24531,153,52,102,101,57,1050,0,51
24534,8,5,6,6,0,1508.9099999999999,1,3
24536,4,0,3,1,0,3400,1,1
24538,74,27,47,47,22,861,1,24
24539,3,1,2,2,0,13923.48,0,0
24540,3597,1650,2326,2307,623,900,15,2327
24541,3544,1513,2146,2126,473,805,30,1970
24543,4,3,4,4,0,869.2249999999999,1,1
24549,55,24,36,35,24,1000,0,20
24550,570,177,271,265,140,827.645,6,437
24551,655,250,359,356,100,1100,6,355
24553,25,10,18,17,6,889.07,1,5
24554,126,46,82,81,49,1275,2,76
24555,78,21,37,37,14,2125,7,27
24556,29,8,17,16,5,1626.5,1,6
24557,255,103,155,156,88,926.565,2,120
24558,101,38,64,62,16,1500,0,44
24562,22,7,13,12,4,1800,0,2
24563,256,107,155,157,79,850,2,134
24565,14,7,13,13,6,1400,0,7
24566,15,4,10,10,4,937.53,0,5
24568,1,1,1,1,0,643,0,0
24569,17,11,13,14,3,1750.5,0,3
24571,18,4,11,10,4,1350,1,5
24572,904,253,479,473,254,1400,12,567
24573,1,0,1,1,0,0,0,0
24574,157,37,72,68,40,1372.205,2,102
24577,70,24,44,42,8,1262.5,3,27
24578,25,6,14,13,5,1600,3,7
24579,36,13,24,23,11,1126,2,19
24580,9,2,5,5,0,3975.09,1,2
24586,132,62,96,93,56,1260,4,33
24588,506,114,241,234,124,1200,5,348
24589,26,7,16,15,1,1100,2,8
24590,114,22,64,61,16,1700,4,25
24592,551,156,268,262,61,1150.2,6,298
24593,41,15,24,24,2,1012.5,0,19
24594,33,10,24,23,13,1012.5,1,4
24597,11,3,6,6,2,2092,1,3
24598,21,9,14,14,3,454.76,0,6
